Location,Property Type,Bedrooms,Bathrooms,Size,Price,Source_URL
"Nyari, Westlands",house,4,4.0,,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
Lavington,townhouse,5,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
Lavington,townhouse,5,6.0,,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
Kileleshwa,townhouse,5,6.0,,70000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
Lavington,townhouse,5,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
"Lower Kabete, Westlands",townhouse,5,5.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
"Runda, Westlands",villa,6,7.0,,158000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
"Rosslyn, Westlands",house,5,5.0,,140000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
"Runda, Westlands",townhouse,4,5.0,,65000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
"Loresho, Westlands",villa,5,6.0,,108400.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
Lavington,villa,6,7.0,9.179 ft²,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
Karen,villa,5,5.0,,165000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
Lavington,townhouse,5,5.0,,78000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
Lavington,townhouse,5,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
Lavington,townhouse,5,5.0,,98000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
Karen,house,5,5.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3
Buruburu,townhouse,4,2.0,,10000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Lavington,townhouse,3,2.0,,22000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Lavington,townhouse,5,5.0,,65000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Lavington,house,4,3.0,,40000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
"Runda, Westlands",house,5,5.0,,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Kiambu Road,house,4,4.0,157 m²,22000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
"Brookside, Westlands",townhouse,3,3.0,3.500 ft²,48000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Lavington,villa,5,6.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Lavington,townhouse,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Lavington,townhouse,5,6.0,,81000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Lavington,townhouse,6,7.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Lavington,villa,5,6.0,,80000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Karen,house,4,5.0,5.920 ft²,105000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Lavington,townhouse,5,5.0,,55000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Karen,house,5,6.0,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Karen,townhouse,5,6.0,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
Lavington,townhouse,4,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=4
