Location,Property Type,Bedrooms,Bathrooms,Size,Price,Source_URL
"Loresho, Westlands",villa,4,5.0,,105000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Lavington,villa,6,7.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Komarock,townhouse,3,2.0,"297,6 m²",11000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Lavington,villa,5,6.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=11
Kiambu Road,house,4,4.0,,30000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
"Kitisuru, Westlands",villa,4,,,320000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
"Kitisuru, Westlands",house,6,5.0,,375000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
Lavington,townhouse,4,5.0,765 m²,135000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
"Runda, Westlands",house,7,,,115000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
Muthaiga,house,5,5.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
Kilimani,townhouse,4,4.0,3.200 ft²,44000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
"Brookside, Westlands",townhouse,4,4.0,3.642 ft²,52500000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
Lavington,house,5,6.0,,230000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
"Kitisuru, Westlands",house,6,10.0,,350000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
"Nyari, Westlands",house,5,6.0,,135000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
Lavington,townhouse,5,3.0,250 m²,60000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
"Loresho, Westlands",house,4,4.0,,60000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
"Loresho, Westlands",house,4,3.0,,60000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
"Runda, Westlands",house,4,4.0,,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
Lavington,house,4,5.0,,50000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
Lavington,villa,4,6.0,,167000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
Lavington,townhouse,5,6.0,,50000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
Kilimani,townhouse,1,1.0,"52,29 m²",5000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
Lavington,townhouse,5,5.0,,86000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
Kileleshwa,townhouse,5,6.0,,72500000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
Lavington,townhouse,4,5.0,,60000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=12
Lavington,villa,5,6.0,,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
Karen,house,10,10.0,,235000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
Kilimani,house,3,2.0,,30000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
Kiambu Road,villa,4,5.0,,47000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
Karen,villa,4,6.0,,180000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
Lavington,townhouse,5,6.0,,155000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
"Spring Valley, Westlands",house,3,3.0,,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
"Parklands, Westlands",house,4,3.0,2.500 m²,21000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
"Loresho, Westlands",house,4,3.0,,82000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
"Thigiri, Westlands",house,6,,,200000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
"Runda, Westlands",house,5,6.0,,115000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
Lavington,townhouse,5,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
Lavington,townhouse,5,6.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
"Brookside, Westlands",villa,5,4.0,,60000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
Lavington,townhouse,5,6.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
Karen,villa,5,6.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
Lavington,villa,5,6.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
"Runda, Westlands",villa,4,6.0,,52000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
"Lower Kabete, Westlands",house,5,5.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
"Nyari, Westlands",house,7,7.0,,230000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
"Runda, Westlands",townhouse,4,3.0,,42000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
Kiambu Road,townhouse,4,4.0,,28000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=13
Lavington,villa,5,6.0,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Kilimani,villa,4,6.0,,50000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Karen,villa,5,7.0,638 m²,175500000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Lavington,villa,5,6.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
"Gigiri, Westlands",house,4,,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Kilimani,townhouse,4,3.0,,53000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
"Runda, Westlands",house,5,5.0,,350000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Lavington,villa,5,6.0,,70000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Lavington,villa,5,6.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Karen,house,4,4.0,268 m²,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Lavington,townhouse,5,6.0,,80000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Karen,townhouse,4,4.0,,300000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Lavington,villa,5,6.0,,80000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Lavington,villa,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Lavington,villa,5,6.0,,235000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Lavington,townhouse,5,6.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Lavington,townhouse,5,6.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
"Kyuna, Westlands",villa,5,6.0,,131000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Lavington,townhouse,5,5.0,,220000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Lavington,villa,5,6.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Lavington,villa,4,5.0,,83000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
"Runda, Westlands",house,5,5.0,,109000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=14
Karen,townhouse,6,6.0,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
Lavington,townhouse,5,6.0,,159000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
"Runda, Westlands",house,4,4.0,,320000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
"Runda, Westlands",house,5,6.0,,130000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
"Runda, Westlands",townhouse,4,4.0,,34000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
Kileleshwa,villa,1,1.0,64 m²,6300000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
"Westlands Area, Westlands",townhouse,5,5.0,5.000 ft²,42000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
"Lower Kabete, Westlands",house,5,6.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
Waithaka,townhouse,6,6.0,,40000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
"Runda, Westlands",townhouse,4,5.0,,60000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
Kiambu Road,house,5,,,107000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
Karen,house,5,6.0,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
Lavington,villa,6,,,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
Lavington,townhouse,5,6.0,,135000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
"Lower Kabete, Westlands",house,5,6.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
Lavington,townhouse,5,6.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
"Riverside, Westlands",villa,5,6.0,,125000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
Lavington,townhouse,6,7.0,,220000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
Lavington,townhouse,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
"Runda, Westlands",house,5,6.0,,185000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
Langata,townhouse,4,4.0,2.650 m²,35900000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
"Brookside, Westlands",villa,5,5.0,,161000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=15
"Riverside, Westlands",townhouse,5,5.0,,53000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
Lavington,townhouse,5,7.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
"Runda, Westlands",townhouse,4,6.0,,47000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
"Runda, Westlands",villa,4,4.0,270 m²,65000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
Muthaiga,house,4,3.0,,200000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
"Runda, Westlands",house,4,,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
"Loresho, Westlands",villa,4,5.0,,170000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
Lavington,villa,5,6.0,6.400 ft²,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
Lavington,townhouse,6,6.0,9.179 ft²,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
"Kitisuru, Westlands",house,5,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
Karen,villa,5,6.0,,165000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
"Spring Valley, Westlands",townhouse,4,4.0,3.499 ft²,80000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
"Westlands Area, Westlands",townhouse,4,3.0,,52500000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
Lavington,townhouse,5,6.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
Lavington,townhouse,4,5.0,,168000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
Lavington,townhouse,6,7.0,,220000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
Lavington,townhouse,5,6.0,,78000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
Karen,house,4,5.0,,140000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
Lavington,townhouse,5,6.0,,230000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
Kileleshwa,townhouse,4,5.0,,45000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
Lavington,townhouse,6,5.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
Lavington,villa,5,6.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=16
"Runda, Westlands",townhouse,5,6.0,,140000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
"Kyuna, Westlands",house,4,,,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
Lavington,villa,5,6.0,,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
Karen Hardy,house,6,8.0,,68000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
Karen,house,5,5.0,,100000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
Lavington,townhouse,5,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
"Westlands Area, Westlands",townhouse,4,4.0,,34000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
Kilimani,townhouse,3,,,50000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
Lavington,townhouse,5,5.0,6.400 ft²,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
"Brookside, Westlands",townhouse,3,3.0,3.500 ft²,48000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
Kiambu Road,house,3,2.0,147 m²,27000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
Kiambu Road,house,4,5.0,,56000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
"Loresho, Westlands",house,4,5.0,,112000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
"Runda, Westlands",house,5,6.0,,250000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
"Lower Kabete, Westlands",villa,6,7.0,,720000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
Lavington,villa,6,7.0,,350000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
Lavington,villa,6,7.0,,80000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
Lavington,villa,5,6.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
Muthaiga,villa,4,5.0,,280000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
Muthaiga,villa,4,5.0,,400000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
Muthaiga,villa,5,6.0,,350000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
"Loresho, Westlands",villa,4,5.0,,42000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=17
"Loresho, Westlands",villa,4,5.0,,42000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
Kiambu Road,house,4,4.0,280 m²,43000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
Kiambu Road,house,4,4.0,190 m²,19500000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
"Runda, Westlands",house,5,5.0,"0,5 m²",230000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
"Runda, Westlands",house,5,5.0,"0,5 m²",260000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
"Nyari, Westlands",house,4,4.0,,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
Lavington,townhouse,5,5.0,,70000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
Lavington,villa,5,5.0,,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
Karen,house,5,5.0,,150000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
Kiambu Road,villa,8,8.0,,59000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
Dagoretti Corner,villa,4,5.0,,25000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
Lavington,villa,5,5.0,,155000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
"Waiyaki Way, Westlands",house,4,5.0,,25000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
Lavington,townhouse,6,6.0,,96000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
Lavington,townhouse,5,5.0,6.400 ft²,160000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
"Parklands, Westlands",townhouse,4,,,23000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
"Brookside, Westlands",townhouse,3,3.0,3.500 ft²,48000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
"Riverside, Westlands",townhouse,2,,,30521661.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
"Lower Kabete, Westlands",townhouse,5,6.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
Lavington,townhouse,5,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
"Riverside, Westlands",townhouse,5,5.0,,48000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
"Loresho, Westlands",house,4,3.0,"0,5 m²",83000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=18
