Location,Property Type,Bedrooms,Bathrooms,Size,Amenities,Price,Listing Date,Source_URL,Scrape_Date
,villa,5,6,400 m²,Lavington,45000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,townhouse,5,6,,Lavington,97000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,townhouse,4,5,,"Loresho, Westlands",105000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,house,4,3,,"Nyari, Westlands",120000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,townhouse,4,4,,Lavington,83000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,house,5,6,,"Runda, Westlands",259000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,townhouse,5,6,,Lavington,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,house,4,4,,"Nyari, Westlands",120000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,townhouse,5,5,,Lavington,75000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,townhouse,5,6,,Lavington,120000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,townhouse,5,6,,Kileleshwa,70000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,townhouse,5,5,,Lavington,75000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,townhouse,5,5,,"Lower Kabete, Westlands",110000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,villa,6,7,,"Runda, Westlands",158000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,house,5,5,,"Rosslyn, Westlands",140000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,townhouse,4,5,,"Runda, Westlands",65000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,villa,5,6,,"Loresho, Westlands",108400.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,villa,6,7,9.179 ft²,Lavington,85000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
,villa,5,5,,Karen,165000000.0,,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,2026-02-18
