Location,Property Type,Bedrooms,Bathrooms,Size,Price,Source_URL,Size_m2,price_per_sqft,month
Lavington,villa,5,6.0,400 m²,45000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,400.0,112500.0,2
Lavington,townhouse,5,6.0,,97000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1515625.0,2
Loresho,townhouse,4,5.0,,105000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1640625.0,2
Nyari,house,4,3.0,,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1875000.0,2
Lavington,townhouse,4,4.0,,83000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1296875.0,2
Runda,house,5,6.0,,259000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,4046875.0,2
Lavington,townhouse,5,6.0,,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1328125.0,2
Nyari,house,4,4.0,,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1875000.0,2
Lavington,townhouse,5,5.0,,75000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1171875.0,2
Lavington,townhouse,5,6.0,,120000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1875000.0,2
Kileleshwa,townhouse,5,6.0,,70000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1093750.0,2
Lower Kabete,townhouse,5,5.0,,110000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1718750.0,2
Runda,villa,6,7.0,,158000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,2468750.0,2
Rosslyn,house,5,5.0,,140000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,2187500.0,2
Runda,townhouse,4,5.0,,65000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1015625.0,2
Loresho,villa,5,6.0,,108400.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1693.75,2
Lavington,villa,6,7.0,9.179 ft²,85000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,0.852756637,99676738.13601758,2
Karen,villa,5,5.0,,165000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,2578125.0,2
Lavington,townhouse,5,5.0,,78000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1218750.0,2
Lavington,townhouse,5,5.0,,98000000.0,https://www.buyrentkenya.com/houses-for-sale/nairobi?page=3,64.0,1531250.0,2
